REGISTRO_ANIMAL rgd_pai rgd_mae idade_des classe_mae GCDES contagemGC peso_nasc pd_aj conformacao_des precocidade_des musculosidade_des umbigo_des sexo safra GM_DES faz datanas id_mae
2 KAPBRMNEPR1033 BR030791 216 5 F2010G19 92 32,00 158,39 3,00 3,00 2,00 3,00 F 2010 G19 FB 11/11/2010 87
2749 6000 2579 311 3 M2009M05 12 38,00 147,39 0,00 0,00 0,00 0,00 M 2009 M05 FBM 24/8/2009 43
2754 128396 2507 304 3 M2009M05 12 45,00 152,07 0,00 0,00 0,00 0,00 M 2009 M05 FBM 31/8/2009 48
2758 4951 801 300 6 M2009M05 12 40,00 152,00 0,00 0,00 0,00 0,00 M 2009 M05 FBM 4/9/2009 129
2771 7000 2572 261 3 M2009M05 12 43,00 169,32 0,00 0,00 0,00 0,00 M 2009 M05 FBM 13/10/2009 45
2772 4951 TE2605 261 3 M2009M05 12 44,00 169,52 0,00 0,00 0,00 0,00 M 2009 M05 FBM 13/10/2009 41
2774 105642 2485 259 4 F2009M05 11 39,00 153,32 0,00 0,00 0,00 0,00 F 2009 M05 FBM 15/10/2009 56
2775 105642 2485 259 4 M2009M05 12 38,00 169,35 0,00 0,00 0,00 0,00 M 2009 M05 FBM 15/10/2009 56
2776 123271 2559 380 3 F2009M05 11 38,00 0,00 0,00 0,00 0,00 0,00 F 2009 M05 FBM 17/10/2009 45
2777 6000 TE2534 531 3 M2009M05 12 41,00 0,00 0,00 0,00 0,00 0,00 M 2009 M05 FBM 17/10/2009 47
2778 51128587 2613 251 3 M2009M05 12 43,00 174,35 0,00 0,00 0,00 0,00 M 2009 M05 FBM 23/10/2009 39
2785 2366 2346 239 4 F2009M05 11 39,00 162,89 0,00 0,00 0,00 0,00 F 2009 M05 FBM 4/11/2009 64
2790 7000 TE1937 231 5 F2009M05 11 40,00 167,27 0,00 0,00 0,00 0,00 F 2009 M05 FBM 12/11/2009 84
2794 2366 TE2548 227 3 F2009M05 11 40,00 169,52 0,00 0,00 0,00 0,00 F 2009 M05 FBM 16/11/2009 47
2795 7000 1800 341 5 M2009M05 12 42,00 0,00 0,00 0,00 0,00 0,00 M 2009 M05 N_INFO 25/11/2009 89
2796 2366 1614 215 5 F2009M05 11 40,00 176,74 0,00 0,00 0,00 0,00 F 2009 M05 FBM 28/11/2009 97
2798 4149 TE2360 318 4 M2009M05 12 29,00 0,00 0,00 0,00 0,00 0,00 M 2009 M05 FBM 18/12/2009 64
2799 6100 TE1588 195 5 M2009M05 12 42,00 212,15 0,00 0,00 0,00 0,00 M 2009 M05 FBM 18/12/2009 99
2800 6100 TE0493 195 5 M2009M05 12 43,00 212,08 0,00 0,00 0,00 0,00 M 2009 M05 FBM 18/12/2009 120
2801 7000 1153 195 5 F2009M05 11 40,00 190,77 0,00 0,00 0,00 0,00 F 2009 M05 FBM 18/12/2009 112
2802 7000 2347 318 4 F2009M05 11 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 M05 FBM 18/12/2009 66
2803 7000 TE0269 195 7 F2009M05 11 41,00 190,69 0,00 0,00 0,00 0,00 F 2009 M05 FBM 18/12/2009 166
2805 4951 TE1355 192 5 F2009M05 11 43,00 192,84 0,00 0,00 0,00 0,00 F 2009 M05 FBM 21/12/2009 107
2806 2366 2469 215 4 F2009M05 11 43,00 176,81 0,00 0,00 0,00 0,00 F 2009 M05 FBM 28/11/2009 60
B2032 0 BR060959 318 2 M2009M01 47 37,00 235,77 5,00 5,00 5,00 3,00 M 2009 M01 FBM 30/6/2009 33
B2033 0 BR060198 317 3 M2009M01 47 40,00 216,88 3,00 4,00 5,00 3,00 M 2009 M01 FBM 1/7/2009 41
B2035 0 BR060972 310 2 M2009M01 47 40,00 195,13 2,00 3,00 3,00 2,00 M 2009 M01 FBM 8/7/2009 33
B2036 0 KT050156 310 3 M2009M01 47 38,00 241,23 4,00 5,00 3,00 3,00 M 2009 M01 FBM 8/7/2009 45
B2037 0 KAPL1102 308 3 M2009M01 47 39,00 225,82 3,00 5,00 5,00 2,00 M 2009 M01 FBM 10/7/2009 45
B2039 0 KAPL1364 318 3 M2009M01 47 49,00 247,77 5,00 5,00 5,00 2,00 M 2009 M01 FBM 30/6/2009 41
B2040 RMS51 BM060185 640 3 F2009S51 6 38,00 0,00 0,00 0,00 0,00 0,00 F 2009 S51 FBM 30/6/2009 42
B2042 0 BR040679 265 4 M2009G01 41 36,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 57
B2043 0 KAPL1494 265 3 M2009G01 41 40,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 41
B2044 0 BR1264 265 6 M2009G01 41 38,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 144
B2045 0 CT040049 265 4 M2009G01 41 37,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 56
B2046 0 BM060293 265 3 F2009G01 46 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 42
B2047 0 BR022550 265 5 M2009G01 41 39,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 81
B2048 0 X1078 265 5 M2009G01 41 40,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 84
B2049 0 GO020371 265 5 M2009G01 41 37,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 83
B2050 0 BM020049 265 5 F2009G01 46 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 84
B2051 0 AR040108 265 3 M2009G01 41 39,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 48
B2052 0 BR3534 265 6 F2009G01 46 38,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 124
B2053 0 BR0510 265 7 F2009G01 46 37,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 168
B2054 0 X1093 265 4 M2009G01 41 39,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 58
B2055 0 GO040620 265 4 F2009G01 46 38,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 57
B2056 0 X0226 265 5 M2009G01 41 38,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 77
B2057 0 X0359 265 4 F2009G01 46 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 59
B2058 RMS52 X1221 265 6 F2009G01 46 37,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 121
B2059 0 KAPL1733 265 2 F2009G01 46 37,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 33
B2060 0 40051 265 4 M2009G01 41 39,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 59
B2061 0 X0338 265 3 M2009G01 41 38,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 47
B2062 0 X1914 265 4 M2009G01 41 38,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 58
B2063 0 GO020607 265 5 M2009G01 41 38,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 82
B2064 0 FU050106 265 3 M2009G01 41 39,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 47
B2065 0 BM040135 265 4 F2009G01 46 37,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 58
B2066 0 BR3856 265 5 F2009G01 46 38,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 108
B2067 0 KAPM0045 265 3 F2009G01 46 37,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 44
B2068 0 KT060434 265 2 M2009G01 41 36,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 32
B2069 0 BR3931 265 5 M2009G01 41 38,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 105
B2070 0 GO020125 265 5 M2009G01 41 37,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 85
B2071 0 FU040026 265 4 M2009G01 41 39,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 61
B2072 0 X1880 265 4 M2009G01 41 37,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 57
B2073 0 BR040762 265 4 M2009G01 41 39,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 57
B2074 0 BR3296 265 5 M2009G01 41 37,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 109
B2075 0 BR040062A 265 4 M2009G01 41 38,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 67
B2076 0 BR020022 265 5 F2009G01 46 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 85
B2077 0 X1939 265 5 M2009G01 41 37,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 103
B2078 0 BR040818 265 4 F2009G01 46 38,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 57
B2079 0 BR1289 265 6 F2009G01 46 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 141
B2081 0 GO020391 265 5 F2009G01 46 37,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 83
B2082 0 X1998 265 5 F2009G01 46 38,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 105
B2083 RMS52 BR060246 265 2 F2009G01 46 37,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 35
B2084 RMS50 X0388 265 3 M2009G01 41 37,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 42
B2085 RMS52 X1332 265 5 F2009G01 46 37,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 77
B2086 0 BR060508 265 2 M2009G01 41 38,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 10/7/2009 35
B2087 RMS52 X0249 265 2 F2009G01 46 36,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 33
B2088 0 BR4239 327 5 F2009G01 46 37,00 112,14 1,00 1,00 1,00 1,00 F 2009 G01 FB 10/7/2009 105
B2089 0 GO020406 265 5 F2009G01 46 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 83
B2090 0 BR3185 265 5 F2009G01 46 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 105
B2091 0 58 265 5 F2009G01 46 40,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 10/7/2009 98
B2097 0 BR051403 239 3 F2009G01 46 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 5/8/2009 45
B2098 0 GO050692 239 3 F2009G01 46 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 5/8/2009 46
B2099 0 KT060260 239 3 F2009G01 46 37,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 5/8/2009 39
B2100 0 BR040749 239 4 M2009G01 41 39,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 5/8/2009 58
B2101 0 BR041074 330 4 M2009G01 41 40,00 173,64 0,00 0,00 0,00 0,00 M 2009 G01 FB 5/8/2009 57
B2102 0 BR040760A 239 4 F2009G01 46 37,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 5/8/2009 58
B2103 0 BR050387 239 3 M2009G01 41 39,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 5/8/2009 48
B2104 0 BR040876 239 4 M2009G01 41 38,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 5/8/2009 58
B2105 0 BR4258 239 5 F2009G01 46 37,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 5/8/2009 105
B2106 0 KAPL1923 239 2 M2009G01 41 38,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 5/8/2009 32
B2107 0 165 239 5 M2009G01 41 40,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 5/8/2009 84
B2108 0 KT060447 239 2 F2009G01 46 37,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 5/8/2009 32
B2109 0 AR040004A 239 4 F2009G01 46 40,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 5/8/2009 62
B2110 0 GO020751 330 5 F2009G01 46 39,00 129,05 0,00 0,00 0,00 0,00 F 2009 G01 FB 5/8/2009 81
B2112 0 GO0386A 330 5 M2009G01 41 38,00 223,82 0,00 0,00 0,00 0,00 M 2009 G01 FB 5/8/2009 94
B2113 0 411684 330 5 F2009G01 46 39,00 129,05 0,00 0,00 0,00 0,00 F 2009 G01 FB 5/8/2009 117
B2114 2630 BR4348 330 5 M2009G01 41 40,00 166,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 5/8/2009 97
B2115 2630 BR3858 330 5 F2009G01 46 41,00 129,77 0,00 0,00 0,00 0,00 F 2009 G01 FB 5/8/2009 120
B2116 TE2037 BR3541 236 5 F2009G01 46 38,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 8/8/2009 112
B2117 0 BR040135A 236 4 M2009G01 41 39,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 8/8/2009 67
B2118 0 BR050015 236 4 F2009G01 46 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 8/8/2009 56
