REGISTRO_ANIMAL rgd_pai rgd_mae idade18 GC18 p550_aj GP345_aj conformacao_sob precocidade_sob musculosidade_sob umbigo_sob aol egs egp acab altura_sob pe_sob sexo safra GM_SOB
KAPM1236 KAP262A KAP1123 460 F2009S03 277,39 133,67 3,00 3,00 2,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAPM1349 KAP262A KAP973 410 M2009N_INF 395,73 236,15 2,00 3,00 3,00 3,00 0,00 0,00 0,00 0,00 0,00 18,00 M 2009 N_INF
KAPM1372 KAP262A KAP521 397 M2010N_INF 387,91 214,81 1,00 1,00 1,00 2,00 0,00 0,00 0,00 0,00 0,00 20,00 M 2010 N_INF
KAPC96 105509FSA X1481 510 M2012R13 366,67 174,31 4,00 3,00 3,00 3,00 0,00 0,00 0,00 0,00 142,00 28,00 M 2012 R13
KAPM1347 RMS06 KT060293 468 M2009S06 424,25 256,81 3,00 4,00 3,00 4,00 0,00 0,00 0,00 0,00 0,00 25,00 M 2009 S06
BOAA1068 BOA9981 BOA9835 494 M2016GBS 334,01 128,79 3,00 3,00 2,00 2,00 0,00 0,00 0,00 0,00 131,00 24,00 M 2016 GBS
C1656 NJOP43 B4420 448 F2014S22 299,55 119,52 2,00 3,00 2,00 2,00 36,77 1,52 2,29 2,02 133,00 0,00 F 2014 S22
GART750 JCDG4599 GART80 548 M2018R22 435,58 0,00 4,00 2,00 2,00 3,00 0,00 0,00 0,00 0,00 0,00 30,00 M 2018 R22
KAP2950 KAP946 KAP2126 633 F2009S03 269,35 0,00 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP2970 F6211 KAP1596 590 F2009S03 313,22 112,50 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP2974 1752 KAP1514 590 F2009S03 372,88 177,00 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP2976 F6211 AGRF2157 590 F2009S03 380,34 144,00 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP2979 1752 FORT3498 590 F2009S03 363,56 160,50 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP2980 1752 FORT3498 590 F2009S03 360,76 172,00 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP2982 1752 KAP1514 583 F2009S03 347,17 142,50 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP2983 JGAL2666 QUI1709 583 F2009S03 334,91 121,01 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP2991 1752 FORT3498 569 F2009S03 347,98 150,30 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP2992 1752 KAP1824 568 F2009S03 364,08 161,20 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP2993 1752 KAP1824 568 F2009S03 345,69 178,50 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP2994 1752 KAP1824 568 F2009S03 339,88 148,17 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3001 A1646 KAP1970 568 F2009S03 305,99 164,70 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3008 CSCN7384 KAP961 550 F2009S03 332,00 139,26 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
KAP3009 IPE1384 KAP2304 550 F2009S03 330,00 129,88 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 S03
